,std_features
0,"[1.5338749222892076,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.29136895824290027,-0.3577842543613723,-1.067714988772932,-0.47909725395790015,0.5294256122754176,-0.15845530690958112,0.553208165085614,-0.2522587020144705,1.6760019675478521,0.7625146368618583,0.258720089348875,1.5228097486542147,0.16469149240696354,-0.31450921737741383,0.7004939490511485,-0.6009745109247547,-0.5448658990917015,-0.6594816063604471,-0.11240796955651283,-1.1571048814622686,-0.38937426934180674,-0.13080495120158458,-0.14604081436670535,0.2746254074908245,-0.33295348283658877,1.0663095291956781,-0.36214052264534674,0.08812592362253964,-0.6318007014003454,-0.5105748344596613,-0.890360048802483,-0.24253946649413868,0.29914782464243184,0.7440234517331233,-0.6517737272524579,1.4624378256311557,-0.3094086314944565,0.7434321090601161,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
1,"[1.0168384316299242,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.5409355177657266,-0.3577891974001016,0.5205780977698763,-0.9331891483451141,-2.3748413310499177,-0.15845530690958112,-1.0899844044756146,0.593527381720225,-0.18242916059517578,0.7625146368618583,-0.0615137020230238,0.8014889495543345,0.16469149240696354,1.4680494447359884,0.996205026187446,0.7494068015789306,-0.3517161760928605,0.651393496320257,-0.6546509130406445,0.21102302964154723,-0.4205553983247667,-0.14057981809272613,1.1806786400471094,-0.4903448439847094,-0.06201635556832298,-0.8282533834900426,0.1493330720435575,1.0056103999621386,-0.45146835173716615,0.12119701113760302,-1.1946552624390179,-0.09019971061979784,-0.6203943953143433,-0.004815188585368977,-1.4807382575896122,0.1360862939444314,-0.06019679994963443,-0.5374193266057785,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
2,"[0.49980194097064085,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.7905020772885529,-0.35761471625678753,1.1643380863353998,-0.8386233300809093,-2.375121885726566,-0.15845530690958112,0.553208165085614,1.3453372339288434,0.019037393618460394,-1.298335733035056,-0.44414643996456915,-0.572252924993136,0.16469149240696354,-0.34436067822620287,-1.104737464217408,0.22423311189790826,1.4275052127504981,0.8261182426859459,0.007036543785566794,1.27716701379499,-0.08952472591946564,0.4954053663422873,-0.8786274684518388,-0.37632480006782376,-0.4601512220869488,-1.9292801163112387,0.07157032485902665,-0.3948524295697831,0.14482877567698027,1.4767083913854282,0.7002237586378909,0.591218419014069,1.4351545292238528,-0.11248388446985016,-0.4613216467058136,-0.526573211660885,-0.08089752129690683,-0.46004646413187306,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
3,"[0.25851824532964196,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,1.0400686368113792,-0.35778962858805646,0.3306161339308693,0.15946641754635854,0.6311266825603112,-0.15845530690958112,-0.8161189762154099,-0.29454800620120525,0.15165746347851586,0.7625146368618583,-0.4438686719585748,0.7632727729146475,0.16469149240696354,0.3464874157029148,-0.44003421757525757,0.9394149392721712,0.4155147696545583,-1.0062657312235248,-0.5372674710788431,0.021358725275500576,1.8603713355377773,0.5410481164615266,0.5858030977075169,1.4421185084400108,0.4352993158815826,-0.10862363034717075,0.700724815684349,-0.2654992138802362,-0.8930062842245678,-0.7397984107580474,-1.079401784724864,-0.4997873041269007,1.324245882123293,0.6625474504269617,-1.6318618813882795,-0.6890676985726419,-0.4332589567245048,-0.43437824975830996,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
4,"[0.5342710403479264,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,1.102460276692086,-0.35778833502419183,0.9690994012786427,-0.38697541790245316,0.6907445513480076,-0.1583671738525152,-1.0899844044756146,-0.07840267369122754,-0.07771003439420301,0.7625146368618583,-0.4438839874877274,-0.38248786823588793,0.16469149240696354,0.4147193262144326,1.3050245079629812,1.5272276306740329,-0.12338801128857085,0.8079144290376469,-0.2908840145223767,-0.004639192323822435,0.32165514951926566,-0.15129682820138177,1.5057674285854337,0.5002444906182631,0.9462781944923181,-1.1415544539546014,0.10675174095722674,0.7114315665445482,-0.6525861401588186,0.06355686901924772,-1.542255143940733,0.20206785485251508,0.13607713721066134,0.8677592709232723,-0.23372178983027903,0.11603505226696095,-0.002518429177974355,0.9048393347072083,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
5,"[0.15511094719778526,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.41615223800431345,-0.35757722165201394,1.2751492319081539,-1.0790948862079595,-0.189495746635038,-0.15845480373131346,1.1009390216060235,-0.9895402987103148,-0.8263249642599806,0.7625146368618583,0.022025547900080236,-0.8116379875470235,0.16469149240696354,-0.3827411278889316,-1.606381989162785,0.49755291728106793,-1.0666040290573278,-1.467234844389617,-1.098852759732622,-1.3067386829783192,-0.8062054800643031,-1.5648739515449812,-1.1019377461232929,1.059197762762194,-1.4226407190090253,-1.5025202319802802,-1.311527681359921,-0.2825501545919444,-1.8397397551326111,2.457832175892244,0.7243981910208566,-0.026516350403245927,1.2437456307466375,-5.663062769595952,0.5599387232553827,1.6084281281328217,-2.3950103918355734,-0.27539027255352355,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
6,"[1.0513075310072098,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.3537605981236069,-0.2640544289651673,-0.08096812105364581,-0.08519249476503023,0.17522533300733947,-0.15845482115296428,0.2793427368254092,-0.46840403452444823,1.6754765601672592,-1.298335733035056,-0.44388050668564727,0.8756138390745257,-1.8939521626800788,0.154585167389271,-0.8697487776915459,0.824315031798665,0.6218438110700213,-0.6085001976183183,-0.4836477738993063,-0.9918276696918011,-0.1007765652647906,-1.3231693711061476,-0.6464025054408296,1.0818054585372745,-0.2699827495715004,-0.11941651380584331,-0.7019358277297025,-0.6755355938918353,-1.0981025643655067,-1.0508029721923198,-0.3201975965564951,-0.7383808787230013,0.31818754738139987,0.19566394776181048,-0.10924837398313994,0.6160550173138994,0.0027453311995402434,1.3119076731632093,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
7,"[0.017234549688643026,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,-0.0829808810413392,-0.35779047409139414,-0.1865025454086497,-2.209876574556055,0.8906397584596952,-0.15845529348466195,-0.2683881196950003,-0.9894082621050206,0.3545734173627537,0.7625146368618583,0.5859154848810325,0.7637876615220683,0.16469149240696354,1.6514227042356926,0.7102799197653342,0.15613598830171593,-0.40990889820670556,0.5279077833775092,0.6631893179859869,0.5982674902600054,1.2865906968713428,-0.12119986450813089,0.8246613625463725,-0.4630973636670646,0.44243607811872726,2.1625233552320724,0.9210679862073189,0.9132032596787655,-0.4248724789838332,-1.4147445681763695,-1.1149275575493869,-1.3413391033449995,0.09567111841126633,1.5101796392375502,-0.8376705169568798,0.9185548483171964,0.56936231675565,0.293798802311609,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
8,"[0.9823693322526387,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,-0.4573307203255787,5.185161464801304,0.6999866191733829,-1.8260573152779926,-0.18248187971883842,-0.1584552795473413,0.553208165085614,2.454256765936555,1.6734292831325341,0.7625146368618583,6.14823720892771,1.1655342649493565,-6.011239472854164,-0.8475710182486466,-0.1510585694367339,0.06872706784940841,1.7922857727562318,1.32319116905493,0.8582373181388446,0.933245497505746,1.2192490114226222,1.1639300967377917,1.1248996623141925,1.6027968972946982,1.2534186305163002,1.0344038918959984,-3.480095844434826,0.8730139322808679,2.46133427200378,3.6072221447478756,2.1662182081022148,4.592432969521537,-1.4951767410491887,1.9537812747724617,-2.384114218997402,-0.7281353362168198,-2.4136072153402623,4.309694855335872,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
9,"[0.43086374221606977,-0.8865250437542864,-0.1,-0.587698924812165,0.8294372198635139,0.3537605981236069,-0.35778894118696897,0.19342138226936426,-0.572701772553327,0.9572714941635911,-0.15845530690958112,1.648669878126433,-0.9884215116739967,0.5911879135884811,0.7625146368618583,-0.4439939808334595,-0.4770557424655325,0.16469149240696354,1.1396833753993092,-0.19578523039061904,0.10750701837522644,-0.6926044140795244,0.42036742091861123,0.6430408817628962,0.020841828644379633,1.395635192480848,-0.0021852416307973233,0.9276998567345981,-0.13167630217986173,0.27683381046836675,2.0135223681308383,0.9749008762259752,0.4059968557303832,0.30593374321013656,-0.40412767935589133,-0.924939945496389,-0.5750073365659314,0.8829262837309511,1.0845009829529286,0.012466223596878814,1.0555640850125423,0.293225519044146,0.34646475340417526,0.8985595332703231,0.6877560294971398,0.4871944541353288]"
