playlist_id,playlist_name,track_id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,1fdCjH8Y8n9j7lFr7tLbfm,Per dimenticare,False,0,Sotto una pioggia di parole,2014-09-05,day,Zero Assoluto,"[0.3371314031180396, 0.4672249443207135, 0.3438118040089084, 0.4651748329621377, 0.4327171492204896, 0.30254120267260576, 0.42955567928730515, 0.2899042316258351, 0.38706013363029, 0.28713808463251667, 0.3289498886414253, 0.4357193763919822]","[48.8215289532294, 14.042335189309563, -21.40502895322945, 0.45067928730512113, 17.67301224944322, -21.55188641425387, 0.7645267260579047, -2.022783964365256, -8.009272828507799, 2.999061247216035, -12.054090200445431, 1.6707037861915366]",0.119,0.633,214727,0.871,0.0009,11,0.0938,-6.906,1,0.0543,165.026,4,0.872,spotify:track:1fdCjH8Y8n9j7lFr7tLbfm
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,3elLXGwE5zaREuOzWdlRJ2,Domani ci passa,False,59,Domani ci passa,2019-04-05,day,Ludwig,"[0.42204701627486413, 0.457907775768535, 0.2372983725135624, 0.3710054249547922, 0.37529837251356246, 0.28207956600361683, 0.3725352622061482, 0.2687685352622064, 0.3729023508137431, 0.2319981916817361, 0.26955515370705235, 0.558533453887884]","[51.063258589511754, 47.4120741410488, 2.200773960217002, -8.858220614828227, 26.799790235081396, -19.121032549728746, 11.745960216998192, 5.103112115732373, -9.326611211573235, 4.7063580470162725, -16.49689692585896, -4.60932368896926]",0.0399,0.708,145463,0.736,0,11,0.448,-4.391,1,0.0398,129.959,4,0.749,spotify:track:3elLXGwE5zaREuOzWdlRJ2
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,54PxYcGpSUCmlpGdFGTaYR,Fiori di Chernobyl,False,54,Fiori di Chernobyl,2020-03-13,day,Mr.Rain,"[0.5980824742268039, 0.4496435935198823, 0.3330500736377021, 0.22706185567010329, 0.3927437407952876, 0.341843888070692, 0.2968703976435934, 0.3933608247422677, 0.3206111929307806, 0.4122636229749632, 0.26807805596465395, 0.3594889543446246]","[46.16356553755522, 18.708207658321072, -25.294973490427154, -17.53176877761414, 21.544936671575854, -20.094362297496293, -9.95167157584683, -5.758969072164954, -14.701985272459506, 2.229994108983798, -14.716341678939626, 1.8446435935198817]",0.327,0.469,175612,0.619,0,0,0.188,-9.114,1,0.116,79.513,4,0.313,spotify:track:54PxYcGpSUCmlpGdFGTaYR
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,1TaSkLG2bXx84YuKmJvncw,Ipernova,False,54,Butterfly Effect,2018-01-26,day,Mr.Rain,"[0.45262730061349704, 0.5658312883435583, 0.2805460122699386, 0.2579233128834357, 0.23533588957055243, 0.36905061349693247, 0.3268895705521473, 0.23161349693251526, 0.4303282208588959, 0.2639723926380367, 0.40733588957055217, 0.2904202453987731]","[48.490248466257626, 29.84508435582819, 0.502440184049082, -14.057006134969322, 20.68856288343558, -16.849751533742324, 1.4661518404907967, -1.8333742331288359, -18.31908435582821, -0.12062269938650401, -13.20940337423312, 0.2789355828220844]",0.195,0.547,177867,0.638,0,1,0.107,-8.318,1,0.0491,100.655,4,0.569,spotify:track:1TaSkLG2bXx84YuKmJvncw
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,2JbPEAf12Ju2CxSIoZC89d,Tutto questo sei tu,False,52,Tutto questo sei tu,2019-12-13,day,Ultimo,"[0.24574728260869574, 0.36889130434782597, 0.4220760869565216, 0.17551494565217388, 0.2967853260869567, 0.244380434782609, 0.46580298913043505, 0.34928125000000004, 0.2113315217391304, 0.36365081521739145, 0.17657336956521735, 0.2699062500000004]","[49.996980978260865, 5.79648777173912, 12.534752717391303, -16.384139945652194, 22.03847826086958, -18.46935054347826, 5.39484918478261, 0.018986413043477167, -12.653385869565234, 2.1984646739130427, -10.467343750000007, -0.5118519021739136]",0.398,0.452,244667,0.528,0,2,0.111,-5.503,1,0.0288,161.647,3,0.421,spotify:track:2JbPEAf12Ju2CxSIoZC89d
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,1jJMhPp0Rm6lAi077PXeEQ,Cin Cin,False,59,Before Wanderlust,2019-12-13,day,Alfa,"[0.3300317700453858, 0.5461346444780636, 0.21320877458396367, 0.2765416036308625, 0.22846747352496247, 0.3278441754916793, 0.3098789712556735, 0.21767473524962166, 0.4204220877458396, 0.19817700453857792, 0.2427413010590012, 0.15016338880484142]","[51.48297125567314, 57.56120726172469, -11.848615733736771, -17.246341906202726, 27.630437216338866, -13.997762481089259, -7.803251134644484, -3.7033116490166473, -13.368577912254167, 0.3199697428139182, -13.061455370650522, -1.3538063540090772]",0.261,0.701,180094,0.634,0,1,0.131,-4.16,1,0.0344,121.047,4,0.371,spotify:track:1jJMhPp0Rm6lAi077PXeEQ
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,5h2DMykCg3GeZu3HpjwuTU,SuL Più BeLLo (Out Of My League) - prod. Yanomi,False,48,SuL Più BeLLo (Out Of My League) - prod. Yanomi,2020-07-16,day,Alfa,"[0.40259071117561684, 0.43298693759071105, 0.25046298984034837, 0.36208272859216273, 0.48793178519593605, 0.2745065312046443, 0.31096516690856335, 0.2988635703918723, 0.481532656023222, 0.34310304789550067, 0.27702031930333826, 0.3983338171262705]","[50.07784179970976, 57.6247126269957, -8.294394775036295, -15.707024673439754, 11.629278664731501, -13.569409288824398, -13.71352394775037, -1.5326777939042109, -23.587994194484793, 2.6227982583454246, -14.913638606676344, -6.614233671988393]",0.0188,0.529,165000,0.726,0,4,0.392,-5.976,1,0.167,180.217,4,0.737,spotify:track:5h2DMykCg3GeZu3HpjwuTU
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,2PiJrF9Z90OdmTtbbnV2mI,Indestructibles,False,0,Fue Eléctrico (Edición Deluxe),2012-01-01,day,La Habitación Roja,"[0.3338828828828829, 0.4011546546546547, 0.1703348348348348, 0.2934879879879879, 0.4161741741741743, 0.24594144144144148, 0.3957552552552553, 0.170385885885886, 0.21712462462462473, 0.14940540540540542, 0.23260810810810806, 0.46679129129129143]","[51.19772522522519, 45.89267417417422, -2.4962732732732724, -21.025503003003003, -0.3167177177177161, -17.017926426426435, -9.715444444444444, -0.44333783783783753, 1.322867867867869, 1.2980285285285285, -11.963731231231229, -1.8726741741741748]",0.00623,0.315,234080,0.539,6.85e-05,11,0.459,-5.848,1,0.0347,178.138,4,0.482,spotify:track:2PiJrF9Z90OdmTtbbnV2mI
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,0poxIvI8mH3TZcGp4T7BWs,Let Your Heart Hold Fast,False,1,Fort Atlantic,2012-05-29,day,Fort Atlantic,"[0.5545323308270675, 0.21271729323308258, 0.2596947368421051, 0.12893684210526324, 0.22560000000000022, 0.6791699248120301, 0.2527714285714287, 0.28433233082706777, 0.1529639097744362, 0.33602255639097767, 0.3061308270676691, 0.21834436090225573]","[47.98317443609023, 17.20824060150378, 44.02507669172935, -8.785078195488715, 17.175055639097735, -24.221118796992492, 4.279503759398494, 0.18490375939849693, -7.267377443609028, -2.620478195488723, -6.312667669172931, -0.5860105263157889]",0.151,0.471,226880,0.462,0.000251,5,0.153,-7.579,1,0.0281,134.007,4,0.469,spotify:track:0poxIvI8mH3TZcGp4T7BWs
2e2VlwJPQeLJCLKWgAWkRb,PlayMusic,4Fs1sEg9Mwn6vykFD89xvc,Fuoco e benzina,True,58,Supereroe,2018-10-12,day,Emis Killa,"[0.48830419977298534, 0.37106469920544793, 0.36192962542565327, 0.21995005675368906, 0.32952667423382515, 0.4689648127128263, 0.2310158910329175, 0.28947673098751436, 0.21436662883087407, 0.3074006810442675, 0.3061169125993187, 0.3055141884222474]","[50.43820544835418, 59.801167990919375, -20.466047673098764, -14.76778547105563, 32.4723223609535, -13.458001135073776, 2.299429057888759, -1.6886424517593643, -7.515533484676507, 11.116931895573211, -19.87382065834275, -7.551180476730981]",0.0497,0.682,209180,0.711,0,5,0.0986,-5.781,1,0.112,79.92,4,0.515,spotify:track:4Fs1sEg9Mwn6vykFD89xvc
