id,track_name,track_explicit,track_popularity,album_name,album_release_date,album_release_date_precision,artist_name,audio_avg_pitches,audio_avg_timbre,audio_acousticness,audio_danceability,audio_duration_ms,audio_energy,audio_instrumentalness,audio_key_1,audio_liveness,audio_loudness,audio_mode_1,audio_speechiness,audio_tempo,audio_time_signature,audio_valence,track_uri,track_genre
2dLLR6qlu5UJ5gk0dKz0h3,Royals,False,76,Pure Heroine,2013-09-27,day,Lorde,"[0.6041831187410588, 0.6443476394849783, 0.48060371959942744, 0.24485979971387697, 0.2453404864091559, 0.19785836909871257, 0.25255650929899864, 0.29611158798283255, 0.24773962804005728, 0.29138769670958503, 0.2538311874105866, 0.25587410586552206]","[43.592423462088746, -4.162974248927038, -39.662296137339034, -14.931670958512147, 11.747786838340478, -11.336286123032908, -4.114898426323318, -3.4124263233190284, 3.759075822603716, 3.7586838340486364, -17.16714163090127, -9.604632331902717]",0.121,0.674,190185,0.428,0,7,0.132,-9.504,1,0.122,84.878,4,0.337,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,acoustic
7AYoXqCtME90flUOpBJM7i,Society,False,0,Music For The Motion Picture Into The Wild,2007-12-17,day,Eddie Vedder,"[0.13272636815920405, 0.22224875621890575, 0.33100373134328365, 0.11872014925373141, 0.27885572139303494, 0.18265422885572166, 0.5074950248756221, 0.4744539800995026, 0.19493656716417876, 0.41102487562189083, 0.14553233830845771, 0.34046144278606943]","[42.11574378109453, -49.73179477611938, -35.21644776119401, -16.005859452736328, 6.064246268656714, -13.86722139303484, -9.606809701492546, -11.765365671641792, -13.1618855721393, -5.430175373134324, -7.12322512437811, 4.989059701492546]",0.896,0.64,236307,0.329,0.000536,11,0.113,-10.844,0,0.0323,80.687,4,0.295,spotify:track:7AYoXqCtME90flUOpBJM7i,acoustic
2bbhyUWJ5VjdfI3P4PRLu2,Samson,False,47,Begin to Hope (Special Edition),2006-06-13,day,Regina Spektor,"[0.14223992322456813, 0.258769673704415, 0.10650287907869482, 0.25783493282149716, 0.397151631477927, 0.10311516314779276, 0.2681880998080614, 0.0983512476007678, 0.281059500959693, 0.10641458733205372, 0.21432821497120932, 0.6261593090211138]","[42.3769654510556, -30.21842034548948, 3.536783109404985, -4.610717850287905, 42.02394817658349, -7.751785028790785, -14.67181381957773, -2.853136276391554, -1.0246641074856044, -9.525564299424188, -13.04056429942418, 1.7211669865642998]",0.862,0.49,189507,0.193,9.74e-06,11,0.113,-9.544,1,0.0421,89.154,4,0.184,spotify:track:2bbhyUWJ5VjdfI3P4PRLu2,acoustic
7zkLpY72g6lKQbiHDqri1S,Sunrise,False,69,Feels Like Home,2004-01-01,day,Norah Jones,"[0.39770789473684215, 0.38362500000000016, 0.2416868421052635, 0.3866289473684219, 0.17919342105263156, 0.29205263157894723, 0.19135000000000005, 0.31968815789473704, 0.4490197368421053, 0.3627618421052631, 0.45892631578947307, 0.15532499999999985]","[39.24825789473678, -103.68762368421064, -58.48876447368415, -21.64628947368422, 31.252726315789456, -28.5760092105263, -9.370972368421064, -4.62414210526316, 0.11375789473684192, 1.5225855263157915, -8.49461184210527, 3.642049999999997]",0.941,0.526,200627,0.299,0.097,8,0.106,-13.797,1,0.031,156.848,4,0.679,spotify:track:7zkLpY72g6lKQbiHDqri1S,acoustic
7z7fquRFQFXt4Dj7ouWETq,Hey There Delilah,False,0,Hey There Delilah,2007-01-01,day,Plain White T's,"[0.10335810810810826, 0.24632837837837807, 0.4037648648648648, 0.09573378378378386, 0.1745202702702702, 0.164718918918919, 0.42998378378378455, 0.25007972972972986, 0.12298648648648665, 0.43509189189189174, 0.12629054054054062, 0.28017567567567586]","[48.204490540540576, -20.785656756756755, -38.6087391891892, -31.423893243243292, 29.068654054054097, -21.289885135135115, -6.442194594594591, -4.644702702702699, -7.4566351351351265, -2.027032432432429, -11.075258108108114, 5.339601351351351]",0.84,0.661,233627,0.373,0,2,0.106,-8.169,1,0.0281,103.999,4,0.304,spotify:track:7z7fquRFQFXt4Dj7ouWETq,acoustic
4I1BlAeZK4UBSCKoaz8vQS,If I Had a Boat,False,36,Early in the Morning (Special Edition),2010,year,James Vincent McMorrow,"[0.4693087818696887, 0.2755722379603399, 0.3721940509915015, 0.17904815864022647, 0.38512747875354114, 0.1629943342776204, 0.2364844192634561, 0.44407790368271954, 0.19566997167138803, 0.3060566572237959, 0.20248866855524086, 0.43424362606232264]","[42.19722237960339, -56.4434490084986, -10.352113314447633, -18.151158640226644, 32.15397592067986, -22.830361189801703, 1.419413597733711, -1.5936260623229455, -19.00837393767703, -9.935949008498595, -6.308201133144485, 3.039491501416431]",0.805,0.46,247405,0.295,0.0169,7,0.111,-10.617,1,0.0355,107.939,4,0.179,spotify:track:4I1BlAeZK4UBSCKoaz8vQS,acoustic
5Szn0p3DlnawyuhX8ULCg4,Orange Sky,False,0,Four Songs,2002-01-01,day,Alexi Murdoch,"[0.21028356964136746, 0.4115237698081734, 0.6202777314428689, 0.18321351125938284, 0.2148165137614674, 0.2037589658048374, 0.270507923269391, 0.44714929107589624, 0.19736947456213527, 0.32920100083402803, 0.1136647206005006, 0.13911592994161773]","[32.71675396163466, -43.84004587155963, -75.53516847372816, -28.131685571309426, 20.17663302752293, -22.95315012510426, -3.2407072560467096, -12.065233527939974, -0.3118015012510436, -2.442572143452879, -12.46488240200165, 6.095895746455379]",0.797,0.685,379520,0.15,0.0461,2,0.1,-20.543,1,0.039,124.956,4,0.125,spotify:track:5Szn0p3DlnawyuhX8ULCg4,acoustic
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,False,67,My Head Is An Animal,2012-01-01,day,Of Monsters and Men,"[0.5781347881899873, 0.44567265725288857, 0.3113581514762519, 0.5869255455712451, 0.26724133504492936, 0.26534916559691896, 0.18179717586649521, 0.2831424903722723, 0.26717458279846007, 0.18212451861360737, 0.38089473684210473, 0.17514249037227209]","[47.51532477535303, -12.982690629011543, 15.20494351732991, -11.90852631578947, 11.724065468549428, -27.470124518613616, 2.6820744544287582, -4.085116816431318, -2.216749679075741, -1.4682926829268264, -7.192788189987168, -3.184476251604621]",0.107,0.359,278373,0.649,0.0124,3,0.0555,-7.06,1,0.0349,111.709,4,0.133,spotify:track:5g7rJvWYVrloJZwKiShqlS,acoustic
5SdG78xwNRsjXmFGhm9Z8D,Om du letar efter nån,False,35,Innan jag kände dig,2011-09-12,day,Melissa Horn,"[0.3581979286536249, 0.21964326812428087, 0.21752128883774463, 0.26145799769850386, 0.22522324510932135, 0.5158722669735328, 0.1947859608745685, 0.20734637514384352, 0.14859378596087477, 0.27088607594936703, 0.4844510932105869, 0.26257422324510926]","[39.23744764096666, -39.21063521288832, -53.08638204833143, -28.044828538550064, 22.983102416570745, -20.696469505178342, -16.80789413118525, -11.002498273878015, 5.762902186421178, -1.1731150747986194, -10.248762945914832, 2.0947617951668587]",0.81,0.556,245000,0.284,9.54e-05,10,0.187,-15.177,1,0.0302,130.009,4,0.658,spotify:track:5SdG78xwNRsjXmFGhm9Z8D,acoustic
5xZV3jkOFbKLH7ywEqGORA,Gone,False,37,We're Not Lost,2013-10-12,day,The Show Ponies,"[0.3453902877697848, 0.4059298561151079, 0.7377302158273379, 0.19253776978417259, 0.2701223021582733, 0.22193884892086346, 0.3060179856115105, 0.23974100719424465, 0.24463309352517978, 0.5116294964028779, 0.2878129496402876, 0.27441906474820155]","[49.87994604316545, 28.329205035971206, 39.956821942446034, 8.423742805755394, 40.39437230215829, -12.0015071942446, -10.892996402877698, -2.4830683453237414, -1.4986474820143887, -0.5140665467625903, -9.792052158273373, 7.139899280575537]",0.754,0.725,158827,0.666,1.05e-06,2,0.15,-5.514,1,0.0774,120.139,4,0.582,spotify:track:5xZV3jkOFbKLH7ywEqGORA,acoustic
